"","river","key","r","NRMSE","rBIAS","KGE","n_data"
"87","OhioSection5","FCO2_raymond2012",0.996800780094814,0.0749549644378465,-0.0429343146222546,0.913477064335123,16
"88","OhioSection5","FCO2_raymond2013",0.998891586863593,0.215768738433798,0.190197026875385,0.744370505157806,16
"89","OhioSection7","FCO2_BIKER",0.971631106534287,0.348418841442527,0.260475985914166,0.520929546421103,16
"90","OhioSection7","FCO2_brinkerhoff2019",0.997004530274914,0.363085591938071,0.326816442807222,0.540431543244364,16
"91","OhioSection7","FCO2_raymond2012",0.999047989879164,0.0346385564148026,0.0266315199600259,0.968742441417262,16
"92","OhioSection7","FCO2_raymond2013",0.99659096162285,0.312883743730428,0.280545457425968,0.604856348366352,16
"93","OhioSection8","FCO2_BIKER",0.87967513019651,0.390171381354888,-0.243128867993358,0.568324798064376,16
"94","OhioSection8","FCO2_brinkerhoff2019",0.998006477356396,0.658713851861007,0.529603669261816,0.149727996857115,16
"95","OhioSection8","FCO2_raymond2012",0.996567792393171,0.270629675909021,0.185811783081024,0.627460494962423,16
"96","OhioSection8","FCO2_raymond2013",0.998082428496208,0.595369457185309,0.476818110831074,0.22974615762022,16
"97","Padma","FCO2_BIKER",0.968480632309212,0.615670923077814,-0.500153066914278,0.353995032891246,25
"98","Padma","FCO2_brinkerhoff2019",0.955873986801588,3.23239645228974,2.16098040426917,-2.66686530410999,25
"99","Padma","FCO2_raymond2012",0.958450469616085,2.02227867838501,1.31879708569834,-1.28342358642189,25
"100","Padma","FCO2_raymond2013",0.955205832477634,3.11872575411877,2.07349055397584,-2.53889032640174,25
"101","Platte","FCO2_BIKER",0,0.55182112640145,0.55182112640145,NA,1
"102","Platte","FCO2_brinkerhoff2019",0,1.88527003014783,1.88527003014783,NA,1
"103","Platte","FCO2_raymond2012",0,1.41490456913835,1.41490456913835,NA,1
"104","Platte","FCO2_raymond2013",0,1.85021428779835,1.85021428779835,NA,1
"105","Po","FCO2_BIKER",0.975742297201016,0.39987065132432,0.322560355044316,0.596652065254146,25
"106","Po","FCO2_brinkerhoff2019",0.998214426545522,0.423316682952533,0.352416805599033,0.514311565232491,25
"107","Po","FCO2_raymond2012",0.99863081043684,0.0881288809992556,0.0730504848863423,0.912734701498998,25
"108","Po","FCO2_raymond2013",0.99827349769307,0.374960225737702,0.312944238217589,0.571276492191504,25
"109","SacramentoDownstream","FCO2_BIKER",0.99675274962017,0.232309848682109,0.200519576098043,0.692657617507506,11
"110","SacramentoDownstream","FCO2_brinkerhoff2019",0.999804865925331,0.109559822348386,-0.0997858415776533,0.862667068296643,11
"111","SacramentoDownstream","FCO2_raymond2012",0.999585561435269,0.281962231680639,-0.255979607299282,0.642039975102564,11
"112","SacramentoDownstream","FCO2_raymond2013",0.999736973902552,0.128935626791165,-0.117367966587139,0.83814459474991,11
"113","SacramentoUpstream","FCO2_BIKER",0.996649990316343,0.646978679041745,0.558146155428729,0.23037037203808,22
"114","SacramentoUpstream","FCO2_brinkerhoff2019",0.999972550167806,0.292977124735384,0.252309524014395,0.648035705791618,22
"115","SacramentoUpstream","FCO2_raymond2012",0.999917835393127,0.0414550711802325,0.0369741067073327,0.953593244200831,22
"116","SacramentoUpstream","FCO2_raymond2013",0.999961396804799,0.267070874482235,0.230506286681903,0.679842429801679,22
"117","Seine","FCO2_BIKER",0.909997596258909,0.532300235365284,0.424174579893687,0.525642964652499,11
"118","Seine","FCO2_brinkerhoff2019",0.999961592628011,0.0434066842653319,0.035089853107468,0.947656546299496,11
"119","Seine","FCO2_raymond2012",0.999835189379615,0.160211161251266,-0.136366424354855,0.811547124394715,11
"120","Seine","FCO2_raymond2013",0.999945597243315,0.0162485932633123,0.0110209282357594,0.981083931289126,11
"121","SeineDownstream","FCO2_BIKER",0.993638343154152,1.4353028523384,0.995371762342852,-0.682315997532251,25
"122","SeineDownstream","FCO2_brinkerhoff2019",0.999955033497993,0.0506097474516515,0.0438367730558264,0.945712590950442,25
"123","SeineDownstream","FCO2_raymond2012",0.999744064812117,0.196469984641691,-0.147659060274848,0.774738383408425,25
"124","SeineDownstream","FCO2_raymond2013",0.999936611170195,0.0169311728704828,0.0146154851575469,0.985356523429966,25
"125","SeineUpstream","FCO2_BIKER",0.976692609549057,1.70363389190848,1.09048611839858,-1.10037154792254,25
"126","SeineUpstream","FCO2_brinkerhoff2019",0.999840214583727,0.0160027294635902,0.00282851987303625,0.98665682406894,25
"127","SeineUpstream","FCO2_raymond2012",0.999439894586844,0.223043706554506,-0.171307624212573,0.738528069620101,25
"128","SeineUpstream","FCO2_raymond2013",0.999792032223498,0.0378882128004427,-0.0210410801227677,0.95543867959318,25
"129","Severn","FCO2_BIKER",0.502575822912007,0.561577158121267,0.4517582795201,0.302061086025134,5
"130","Severn","FCO2_brinkerhoff2019",0.957552621362657,0.218738110365611,-0.1506175726005,0.598050731899309,5
"131","Severn","FCO2_raymond2012",0.929106197489743,0.352313123255211,-0.286286050536214,0.421087843423362,5
"132","Severn","FCO2_raymond2013",0.943687150480049,0.230481016136843,-0.155011149331308,0.577229678250062,5
"133","Wabash","FCO2_BIKER",0.962378556074086,0.222368863221534,-0.104141701198199,0.784555575894787,12
"134","Wabash","FCO2_brinkerhoff2019",0.979277156123141,0.674173769728761,0.636161893439731,0.310162931016926,12
"135","Wabash","FCO2_raymond2012",0.981115829443214,0.343613441498852,0.318700366008592,0.678309501624742,12
"136","Wabash","FCO2_raymond2013",0.97976500578046,0.620811317251421,0.585999132552433,0.369244757554516,12
