"","river","key","r2","nrmse","rBIAS","rrmse"
"133","Padma","FCO2_BIKER",0.99800183265031,0.0659200775385001,0.0415557330454351,0.0854603862790164
"134","Padma","FCO2_brinkerhoff2019",0.915591914143809,1.04167048498976,0.809432785562502,0.967556347725114
"135","Padma","FCO2_raymond2012",0.939888310983043,0.469808753652035,0.349420793847537,0.492107643547238
"136","Padma","FCO2_raymond2013",0.9505166477219,1.22555027811686,0.970568787871836,1.07160462740683
"137","Platte","FCO2_BIKER",1,0.761564210424153,0.6909157314636,1.06172831461765
"138","Platte","FCO2_brinkerhoff2019",1,1.13121680323594,1.01810806077781,0.976812544436743
"139","Platte","FCO2_raymond2012",1,1.1058628062351,1.04248443552117,1.02909182726569
"140","Platte","FCO2_raymond2013",1,1.529460187196,1.52944140314269,1.78401656828729
"141","Po","FCO2_BIKER",0.958455460351501,0.60798173779833,0.516232749250272,0.57189794920309
"142","Po","FCO2_brinkerhoff2019",0.997959746310035,0.143587334258535,0.113706400642033,0.111504508276537
"143","Po","FCO2_raymond2012",0.999277547457155,0.0293031583523803,-0.0159086525125559,0.0211895435673028
"144","Po","FCO2_raymond2013",0.966904805872973,0.400738770317543,0.339538948382249,0.401111589036064
"145","SacramentoDownstream","FCO2_BIKER",0.974436094135929,0.212593340970636,-0.191020987921485,0.219363769910311
"146","SacramentoDownstream","FCO2_brinkerhoff2019",0.998394990566191,0.298072390733495,-0.267860754003585,0.266843041127616
"147","SacramentoDownstream","FCO2_raymond2012",0.999697176026207,0.33147549340996,-0.300231155676088,0.300361213736569
"148","SacramentoDownstream","FCO2_raymond2013",0.989673419058886,0.11008684884109,-0.0962582997478702,0.120203267862392
"149","SacramentoUpstream","FCO2_BIKER",0.997511430153487,0.220935585584177,-0.18634760866238,0.196843067616686
"150","SacramentoUpstream","FCO2_brinkerhoff2019",0.998856960457826,0.0217301066164024,-0.00201902538676457,0.0357487509925033
"151","SacramentoUpstream","FCO2_raymond2012",0.999678636839501,0.0477336561175286,-0.0384436296027835,0.0413188710487245
"152","SacramentoUpstream","FCO2_raymond2013",0.998442447125562,0.257374944868249,0.21548504534876,0.221212747582774
"153","SanJoaquin","FCO2_BIKER",1,0.239378273944253,0.233072691297869,0.260665859370219
"154","SanJoaquin","FCO2_brinkerhoff2019",1,0.2328600261287,0.16293958772087,0.204685986180129
"155","SanJoaquin","FCO2_raymond2012",1,0.155601648881465,0.0953468425981135,0.137565406370319
"156","SanJoaquin","FCO2_raymond2013",1,0.399108711550828,0.388392711070692,0.384998667853066
"157","SanJoaquinRiver2","FCO2_BIKER",1,0.573347656030248,0.570744238596122,0.63114609310719
"158","SanJoaquinRiver2","FCO2_brinkerhoff2019",1,0.0830695016780038,-0.0711931090021668,0.102207742502729
"159","SanJoaquinRiver2","FCO2_raymond2012",1,0.028895470096635,-0.024543916997737,0.0356207877199516
"160","SanJoaquinRiver2","FCO2_raymond2013",1,0.195294166804192,0.176209735844389,0.236625610012404
"161","Seine","FCO2_BIKER",0.991938424465635,0.29964932687811,-0.234722226912334,0.231096279577292
"162","Seine","FCO2_brinkerhoff2019",0.999619070144063,0.451697536950627,-0.376219038973353,0.370627906521164
"163","Seine","FCO2_raymond2012",0.999833398212116,0.462523487760386,-0.386152429714187,0.382402848166386
"164","Seine","FCO2_raymond2013",0.999966971764587,0.191325535589039,-0.161180184773753,0.163563079299612
"165","SeineDownstream","FCO2_BIKER",0.920092319046539,0.496337313108737,0.27752399656858,0.347569605489854
"166","SeineDownstream","FCO2_brinkerhoff2019",0.987894055174568,0.361559569601881,-0.310045604037769,0.324950320109612
"167","SeineDownstream","FCO2_raymond2012",0.995305966998688,0.415101708246685,-0.35336366912996,0.361158631604356
"168","SeineDownstream","FCO2_raymond2013",0.996347224157708,0.245945053069143,-0.199199508145436,0.19497971056254
"169","SeineUpstream","FCO2_BIKER",0.833504380803547,0.350382578830189,-0.0219983820399518,0.280774011137357
"170","SeineUpstream","FCO2_brinkerhoff2019",0.97994924957369,0.379262367155553,-0.325496652390966,0.339875752934865
"171","SeineUpstream","FCO2_raymond2012",0.991149170485732,0.408071497708533,-0.349072467243612,0.357046156106623
"172","SeineUpstream","FCO2_raymond2013",0.997166542726711,0.249904499515072,-0.205130737878643,0.20234863125928
"173","Severn","FCO2_BIKER",0.806356724225515,0.457276459720725,0.420391921335635,0.537198782265825
"174","Severn","FCO2_brinkerhoff2019",0.985192280420105,0.264542175938595,-0.219096218711497,0.208812557899092
"175","Severn","FCO2_raymond2012",0.940019317768706,0.286255432918012,-0.211370563450566,0.203867144598398
"176","Severn","FCO2_raymond2013",0.409318908070245,0.316235841414421,-0.0122742365173726,0.283378022662502
"177","StanislausRiver","FCO2_BIKER",1,0.210723618001773,0.149888777640048,0.21573238829851
"178","StanislausRiver","FCO2_brinkerhoff2019",1,0.337118324817089,0.117998997247803,0.342486997990785
"179","StanislausRiver","FCO2_raymond2012",1,0.299913987717991,0.105010136528169,0.304691409937835
"180","StanislausRiver","FCO2_raymond2013",1,0.429820673800985,0.365969970822675,0.438993138674179
"181","TuolumneRiver","FCO2_BIKER",1,0.27213127764747,-0.227451148728618,0.260764740903291
"182","TuolumneRiver","FCO2_brinkerhoff2019",1,0.445508799786161,0.420340141476796,0.46029079435188
"183","TuolumneRiver","FCO2_raymond2012",1,0.382314865918804,0.357496838671823,0.395671712466312
"184","TuolumneRiver","FCO2_raymond2013",1,0.734674295374666,0.722991229923756,0.749510504012897
"185","Wabash","FCO2_BIKER",0.910237429176015,0.33384800427291,-0.216273222653861,0.193865934326742
"186","Wabash","FCO2_brinkerhoff2019",0.98266201820903,0.142552851231746,0.105506412331328,0.427089662289499
"187","Wabash","FCO2_raymond2012",0.989458399001617,0.102458920543613,0.00300384052398685,0.289279297496556
"188","Wabash","FCO2_raymond2013",0.977409073541323,0.48834233171276,0.403690551683936,0.524379526604333
