"","river","time","kobs","kest_mean","kest_low","kest_high","kest_sd"
"77","GaronneDownstream",27,2.57844099079118,2.55281394636242,1.94177719855639,3.30223188749896,0.355185408808923
"78","GaronneDownstream",28,2.50652109704388,2.57584712472601,1.92171294367392,3.38311468927313,0.372808137464379
"79","GaronneDownstream",29,2.66430003948642,2.53202806340158,1.92507311449601,3.27700152462981,0.351577464384318
"80","GaronneDownstream",30,2.71932588269711,2.56099533899444,1.92858728705651,3.31610024754094,0.363353511344782
"81","GaronneDownstream",31,2.7574900959737,2.52883539921927,1.92575353316978,3.2899208553086,0.348325684155333
"82","GaronneDownstream",32,2.76026364753826,2.54137393433479,1.93276082192059,3.3045523818126,0.3524852485286
"83","GaronneDownstream",33,2.72862516065628,2.61057291245988,1.98927139452527,3.44070571890382,0.360675867481327
"84","GaronneDownstream",34,2.77090040164049,2.61639311052129,1.97389041763532,3.42037025760783,0.368457286801639
"85","GaronneUpstream",1,3.48433834895112,4.41394487988317,3.62003080899721,5.31692069476986,0.433443203087587
"86","GaronneUpstream",2,3.41015945169329,4.8209732256833,3.8805496212169,5.88975920759094,0.522044214770896
"87","GaronneUpstream",3,3.72179843436296,4.8167072221261,3.88782392941562,5.89848259234848,0.521071338524372
"88","GaronneUpstream",4,3.59931885470743,4.82846060226175,3.88042851748123,5.88341215590363,0.510642971448171
"89","GaronneUpstream",5,3.57217153806617,4.81101288990667,3.85622902351074,5.94007325231817,0.522327815439334
"90","GaronneUpstream",6,3.56641167630529,4.82458775933026,3.88955539599612,5.91211858923602,0.52625758006669
"91","GaronneUpstream",7,3.54928653024486,4.84348354040107,3.88229851712602,5.92433184093335,0.513158609810908
"92","GaronneUpstream",8,3.515373211124,4.83599195282018,3.86319465264512,5.85549953559197,0.50682504687186
"93","GaronneUpstream",9,3.62357514417999,4.8218229244349,3.83985457651087,5.9623623865986,0.532639816036387
"94","GaronneUpstream",10,3.80873070003792,4.79426811829374,3.86476913936699,5.76800296742849,0.493761822658809
"95","GaronneUpstream",11,3.64951036093269,4.82599887465117,3.90148000440546,5.87966234564902,0.512614317484766
"96","GaronneUpstream",12,3.84165686660589,4.84945340577057,3.88621310696653,5.919899127968,0.526100884316246
"97","GaronneUpstream",13,4.09141770496466,4.81918043636986,3.88768382333591,5.90816947408734,0.505641957370021
"98","GaronneUpstream",14,3.87505000414281,4.83485171984551,3.90179340532107,5.95611233242227,0.521018660405692
"99","GaronneUpstream",15,3.82507818254939,4.84346725977697,3.91486668464722,5.98392729799759,0.529620428429152
"100","GaronneUpstream",16,3.94962644984709,4.84542428503905,3.92440223873893,5.91204148065473,0.512987470684527
"101","GaronneUpstream",17,3.75893289388064,4.82710885039778,3.87388854748521,5.910128514803,0.511954596541984
"102","GaronneUpstream",18,3.61751332333613,4.82425043668217,3.88047781178319,5.97153542497345,0.519827829998824
"103","GaronneUpstream",19,3.3922609457842,4.82831297365842,3.87503817083118,5.91620414215364,0.52274652949346
"104","GaronneUpstream",20,3.37987708939884,4.83652288333924,3.86216915790059,5.91603034699132,0.535018096926586
"105","GaronneUpstream",21,3.25649231375817,4.81953610157304,3.89915860578166,5.94171242320573,0.52003747832227
"106","GaronneUpstream",22,3.21685609266733,4.89656104573845,3.94776463057349,6.08198297366996,0.53972794013184
"107","GaronneUpstream",23,3.21054252505555,4.862536057056,3.95905690204909,5.89197137561992,0.510465976072686
"108","GaronneUpstream",24,3.23464184670014,4.86415729654231,3.91265254797116,5.94449656791436,0.530379349323948
"109","GaronneUpstream",25,3.12450263240488,4.88192238281691,3.95610112960059,5.93247576741512,0.518121655413727
"110","GaronneUpstream",26,3.18526741814774,4.88862575292847,3.94243087748152,6.03892606244268,0.536786520208834
"111","GaronneUpstream",27,3.48535510707088,4.81312463504394,3.87987198148993,5.95438791840876,0.537187951489384
"112","GaronneUpstream",28,3.26527252952184,4.8528432147314,3.91640678861521,5.97870464484461,0.52406926527529
"113","GaronneUpstream",29,3.64053353870398,4.81794030576804,3.90886600834185,5.83170053012071,0.508821630583487
"114","GaronneUpstream",30,3.48575189675503,4.82893824218057,3.90683417461946,5.91640513149585,0.516498245132489
"115","GaronneUpstream",31,3.58998535456709,4.83515927973824,3.8790461015344,5.96452221535425,0.526463325076102
"116","GaronneUpstream",32,3.68519118519715,4.82081088882814,3.90345734216978,5.9119120626029,0.513261340713341
"117","GaronneUpstream",33,3.47121849072513,4.83088923699021,3.91135697581742,5.9814473904004,0.529692113471911
"118","GaronneUpstream",34,3.41234392760926,4.86103289830688,3.88514636217455,6.03936550004666,0.52657002786163
"119","Kanawha",1,0.943836847703317,0.777044785833267,0.525080291218792,1.14412703249033,0.15912242664051
"120","Kanawha",2,0.859065486687188,0.698285119866517,0.437361662793688,1.0976277142301,0.172339194470925
"121","Kanawha",3,1.56493492459453,1.42260587572329,0.88576862118809,2.37086598243582,0.363585090492036
"122","Kanawha",4,1.05441015309804,0.840783449863277,0.521657297228438,1.31366191350704,0.210492819107258
"123","Kanawha",5,0.651183704121231,0.553467915523075,0.344118568569603,0.870616496019437,0.137285076630053
"124","Kanawha",6,1.72585243080762,1.39141837958219,0.890354754562657,2.1772105208492,0.340302425310981
"125","Kanawha",7,1.58615455805623,0.97963363187523,0.610231238269749,1.55450252724829,0.243909070943984
"126","Kanawha",8,0.953508957271327,0.944619800125963,0.579565703510533,1.49362322753159,0.23792424735923
"127","Kanawha",9,1.21003620067347,1.24289179769291,0.771596837104583,1.98823565244414,0.31236467634346
"128","Kanawha",10,0.684429027889043,0.46245027535533,0.281697000667955,0.742456810673792,0.117385252838485
"129","Kanawha",11,0.62557949552941,0.535509364049594,0.333910909389931,0.849968793612221,0.133748637500359
"130","Kanawha",12,1.23027336925655,0.837829609042305,0.527633100884981,1.33378308094221,0.202583900730636
"131","Kanawha",13,0.941603918522043,0.748216948496579,0.472481593383037,1.21159018516588,0.184519835905837
"132","Kanawha",14,0.654554141235947,0.735125238870075,0.452670482837168,1.19968319681149,0.185093468798283
"133","Kanawha",15,0.619685889592213,0.46603544447358,0.287295932741199,0.779253059477894,0.121595474109853
"134","Kushiyara",1,1.04132156048896,0.560168680175153,0.432851712238619,0.713475465001653,0.0719266366645393
"135","Kushiyara",2,0.94957074869794,0.940926502132165,0.672507333102674,1.30986152415549,0.158196929771318
"136","Kushiyara",3,0.915998005237338,0.856291583150164,0.585347856592475,1.17667481933,0.147750998770115
"137","Kushiyara",4,0.918099170208838,0.591718382795461,0.417895658919506,0.806519506794991,0.100722874320295
"138","Kushiyara",5,0.899737495256312,0.746313701823043,0.516540526069273,1.04158092885112,0.131454474742516
"139","Kushiyara",6,0.85306972104501,0.652373118985487,0.453484549716784,0.909587102801529,0.116173274617553
"140","Kushiyara",7,0.829869335761428,0.883989115990351,0.627111219056443,1.20085597652617,0.149088462867074
"141","Kushiyara",8,0.85958090786878,0.874575864662475,0.614953708297383,1.20559961096742,0.148905027970492
"142","Kushiyara",9,0.865670349241001,0.615540699774432,0.435064292325093,0.852873784130649,0.107756556915622
"143","Kushiyara",10,0.998021976145452,0.974173610121969,0.698768350262284,1.31888100769304,0.161212999082981
"144","Kushiyara",11,1.58565891453594,1.24821542038162,0.902989615738094,1.68510553999458,0.200853216417713
